id,txn,s1,s1_days,s2,s2_days,f1,f1_Dur,f2,f2_values,f3,f4,f5,f6,gender,DOB
363,3,106,23,106,23,NULL,NULL,28,8730,215,12,15,56,male,1989-01-10
364,2,354,28,202,24,NULL,NULL,,,20,1,32,2,female,1970-09-15
365,1,43,18,43,18,4,45,25,6692,50,10,75,64,male,1996-10-01
366,3,155,21,154,21,32,129,24,11034,1,15,27,16,male,1998-08-08
367,1,29,9,29,9,NULL,NULL,,,2,0,2,2,female,1981-01-11
368,1,32,16,32,16,8,10,21,10648,132,62,10,72,male,1983-08-26
369,9,48,22,45,22,24,625,29,11488,129,15,24,218,female,1967-04-04
370,1,27,5,27,5,NULL,NULL,14,7207,14,5,1,14,male,1979-04-13
371,7,115,25,115,25,NULL,NULL,,,53,9,13,48,male,1984-02-25
372,1,33,10,31,10,50,709,30,11634,71,32,58,43,male,1988-09-25
373,7,109,20,106,20,1,0,25,12457,75,0,2,62,male,1989-06-11
374,5,38,13,31,13,NULL,NULL,,,689,45,60,62,female,1984-07-02
375,1,288,30,288,30,38,384,30,7132,286,76,239,85,male,1985-08-15
376,2,36,10,30,10,139,1944,28,23397,85,192,303,148,female,1970-06-10
377,1,39,17,39,17,24,69,23,10657,29,37,52,82,male,1998-06-01
378,1,36,7,30,7,209,3733,30,12832,82,176,78,110,female,1960-09-27
379,6,74,19,64,19,NULL,NULL,24,7601,0,2,2,24,male,1990-10-17
380,5,151,11,138,11,2,1,11,7064,1,2,1,3,male,1991-08-15
381,6,31,15,31,15,127,1626,28,13088,97,141,60,144,male,1962-12-16
382,1,132,29,132,29,2,5,30,18608,127,0,113,90,male,1955-12-03
383,1,146,27,112,26,38,510,,,0,2,4,0,female,1990-12-19
384,5,37,7,27,7,4,1,9,2381,18,0,29,78,male,1990-08-07
385,1,36,6,26,6,10,18,,,2,1,1,0,male,1995-06-12
386,1,76,16,63,16,9,38,,,0,2,1,1,male,1996-02-17
387,4,123,25,117,25,61,524,30,6530,52,233,137,120,male,1985-01-27
388,1,46,12,41,12,6,58,26,2800,136,73,93,41,male,1983-07-11
389,1,127,9,98,9,7,182,14,10747,0,2,1,2,male,1988-03-17
390,1,31,5,31,5,2,0,20,5836,4,2,1,19,female,1993-12-09
391,12,255,26,249,26,93,1098,22,9063,64,92,144,119,male,1970-01-14
392,1,28,15,28,15,18,223,29,8687,11,30,34,25,male,1976-10-31
393,1,28,12,28,12,57,491,24,10503,84,72,95,80,male,1956-09-17
394,1,52,16,52,16,1,0,,,0,5,9,0,male,1987-05-16
395,2,80,18,62,18,NULL,NULL,,,12,0,1,5,female,1991-08-24
396,1,46,17,40,17,44,524,24,6297,476,95,70,82,male,1987-02-14
397,2,59,16,59,16,NULL,NULL,,,1,0,3,0,male,1991-01-24
398,1,53,19,53,19,NULL,NULL,28,10749,56,15,24,112,male,1991-01-06
399,1,95,20,80,20,4,4,24,5703,50,0,8,138,male,1986-08-18
400,3,29,9,29,9,28,262,18,3205,48,27,7,28,male,1987-06-05
401,6,165,23,134,22,61,534,30,13225,178,31,100,103,male,1983-10-26
402,4,342,8,38,8,200,1688,30,11545,128,104,138,66,male,1961-09-18
403,1,29,6,29,6,17,43,24,11207,30,38,149,210,female,1978-06-18
404,1,132,18,94,18,4,94,12,6323,1,0,2,11,female,1997-06-06
405,1,96,11,96,11,57,329,23,12182,119,212,267,138,male,1969-03-08
406,7,255,30,210,30,10,63,24,3477,70,16,31,42,male,1996-01-12
407,1,28,14,24,13,38,240,28,42004,125,67,64,87,male,1950-08-19
408,1,334,26,297,26,34,167,,,54,20,33,55,male,1995-12-01
409,8,91,18,91,18,17,16,,,24,4,1,27,male,1967-11-04
410,7,337,29,328,29,197,2398,20,3910,0,14,57,4,female,1984-10-11
411,1,48,14,40,14,7,36,26,5306,65,2,98,49,female,2003-01-01
412,1,55,18,55,18,48,281,23,8773,0,39,60,30,male,1992-07-29
413,9,111,23,99,23,45,433,23,13707,97,31,68,58,male,1985-03-31
414,1,28,12,28,12,9,60,2,4413,1,0,4,4,male,1977-10-10
415,2,37,18,37,18,96,951,26,10873,114,74,137,119,male,1981-01-01
416,7,194,27,192,27,76,473,30,18284,215,80,107,98,male,1964-06-01
417,7,135,27,129,27,108,616,25,13919,3,22,32,66,male,1972-07-17
418,10,206,27,206,27,96,1217,23,15612,91,109,165,84,male,1976-07-23
419,9,59,18,59,18,63,467,26,31759,140,116,146,122,male,1971-04-16
420,2,38,15,38,15,44,402,29,14141,199,34,60,93,male,1979-12-20
421,3,52,4,52,4,107,1066,27,12440,98,29,20,98,male,1968-11-10
422,1,28,9,22,8,10,53,24,11786,222,24,41,94,male,1981-01-22
423,7,260,26,260,26,118,1296,30,14796,182,102,331,89,male,1963-05-20
424,3,138,24,100,24,139,1395,22,10587,182,82,121,208,male,1983-08-20
425,1,39,7,39,7,1,0,21,7041,109,21,59,47,male,1966-06-20
426,2,35,16,35,16,89,408,26,6898,53,35,39,68,male,1965-07-17
427,4,74,12,74,12,14,28,,,32,2,5,21,male,1981-09-13
428,3,250,23,161,23,3,60,20,3543,9,0,1,37,male,1969-03-25
429,1,26,12,15,12,67,850,,,75,40,147,93,male,1979-06-07
430,8,94,22,85,22,36,318,30,7699,232,33,122,120,female,1981-10-18
431,5,78,19,69,19,108,2445,23,20968,123,222,318,167,female,1974-07-31
432,7,33,16,33,16,93,901,23,18733,194,166,548,235,male,1964-09-17
433,2,133,21,120,21,1,0,,,265,144,107,86,male,1988-04-25
434,1,50,11,47,11,10,39,26,11680,143,32,96,146,male,1964-06-12
435,2,33,14,31,14,245,2879,24,13246,270,133,116,120,male,1979-01-08
436,12,167,26,144,26,50,315,23,16842,241,33,48,169,male,1963-08-16
437,2,58,19,58,19,1,2,24,8027,48,26,53,102,male,1996-06-17
438,1,27,4,27,4,8,15,17,10003,67,102,3,125,male,2007-08-13
439,7,37,17,15,8,NULL,NULL,21,3764,1,2,8,17,male,1991-06-07
440,1,66,20,64,20,4,3,22,8526,219,59,62,183,male,1979-11-23
441,2,28,12,28,12,41,433,24,6568,363,77,104,34,male,1984-07-15
442,1,27,9,24,9,NULL,NULL,22,6438,74,6,22,80,male,1990-11-20
443,12,110,21,108,21,16,49,26,13910,72,32,3,144,male,1979-11-01
444,2,130,8,127,8,27,428,18,7126,102,32,79,163,male,1981-08-27
445,1,48,10,33,10,NULL,NULL,29,5854,292,12,3,116,male,1972-12-03
446,20,126,22,126,22,NULL,NULL,30,6858,156,0,60,128,male,1967-12-06
447,3,26,11,26,11,1,0,16,7229,64,36,61,36,male,1982-10-01
448,1,26,13,26,13,18,63,26,12221,185,33,1,53,male,1978-10-15
449,1,70,15,70,15,NULL,NULL,28,8381,198,22,36,73,female,1993-01-06
450,7,48,10,46,10,202,1958,20,5723,2,17,2,54,male,1978-07-15
451,6,120,21,116,21,42,407,14,6168,17,17,7,29,male,1988-08-01
452,1,62,20,57,20,NULL,NULL,,,178,29,78,11,female,1970-03-13
453,1,31,12,31,12,54,476,24,7096,8,7,41,75,male,1978-03-27
454,3,153,28,152,28,68,380,25,7863,152,64,55,190,male,1984-08-06
455,1,26,16,26,16,3,68,29,9622,173,48,133,120,male,1984-10-26
456,2,103,22,101,22,38,677,27,6560,49,42,84,139,male,1983-01-16
457,1,28,17,28,17,36,233,27,6232,3,23,34,11,male,1988-12-25
458,8,353,13,350,13,40,274,11,2955,56,18,19,37,male,1982-04-21
459,4,53,10,53,10,NULL,NULL,,,90,31,30,10,male,1972-03-26
460,12,94,18,94,18,63,624,20,11600,101,91,235,245,male,1981-03-13
461,5,155,24,147,24,157,1368,28,6511,290,30,73,259,male,1974-02-22
462,4,77,18,68,18,9,42,25,7986,113,13,10,78,male,1977-03-04
463,2,32,8,32,8,2,20,24,5469,57,21,50,148,female,1986-09-27
464,1,34,3,26,3,43,107,27,6702,15,26,7,51,female,1979-07-26
465,1,54,15,30,9,30,118,29,17185,214,33,2,160,male,1975-06-20
466,6,120,22,120,22,12,74,22,12789,537,70,137,115,male,1975-05-13
467,5,284,28,284,28,14,56,,,79,10,18,37,male,1982-04-18
468,5,73,22,73,22,2,0,,,121,45,31,21,male,1980-10-13
469,6,167,25,129,24,148,1647,24,7984,75,80,83,59,male,1980-03-07
470,5,359,30,189,29,160,726,28,13855,88,76,71,123,male,1976-04-07
471,14,217,29,177,29,61,462,24,12361,10,50,72,21,male,1981-10-08
472,20,235,29,235,29,40,653,28,2402,128,23,81,65,female,1974-08-18
473,2,140,18,140,18,17,7,29,8853,93,4,1,107,male,1982-03-14
474,2,68,15,67,15,74,208,29,11201,176,36,38,242,male,1976-04-30
475,5,208,28,208,28,1,0,,,81,37,2,70,male,1993-07-04
476,3,72,24,72,24,53,405,26,11012,74,47,68,124,male,1986-01-03
477,11,207,28,207,28,44,300,28,5605,413,15,4,212,male,1991-07-01
478,14,419,29,419,29,15,14,16,5051,136,0,28,150,male,1986-01-19
479,3,55,10,50,10,2,2,17,7537,279,22,2,52,male,1988-06-21
480,1,85,10,75,9,336,3171,24,10059,171,144,210,181,male,1965-08-28
481,1,38,12,24,12,4,60,30,10686,70,20,22,68,female,1978-12-21
482,5,245,24,137,24,63,242,22,7382,101,47,34,127,male,1983-02-24
483,8,197,19,197,19,60,324,23,5533,66,12,17,57,male,1981-09-28
484,2,29,10,20,10,3,27,21,6494,75,8,105,55,female,1992-10-14
485,1,80,29,80,29,14,134,,,18,5,12,29,female,1986-05-11
486,2,115,15,63,13,20,76,27,8595,52,3,32,99,male,1967-04-15
487,3,253,30,137,29,NULL,NULL,28,5686,66,0,2,86,male,1988-09-24
488,9,299,27,295,27,33,348,25,2247,70,6,2,120,female,1980-12-21
489,3,35,11,35,11,62,253,22,7092,51,24,22,28,male,1967-06-26
490,1,94,9,32,7,14,131,25,8619,147,23,160,203,female,1997-03-22
491,1,104,27,104,27,23,92,24,22533,208,92,30,156,male,1983-07-07
492,2,75,16,74,16,48,73,26,6631,327,0,1,179,male,1978-08-10
493,2,63,16,63,16,443,542,22,11602,3,44,62,41,female,1981-01-15
494,1,38,11,36,11,89,797,27,8821,6,5,11,63,male,1968-09-01
495,1,69,15,60,15,81,624,17,6371,4,1,1,9,female,1976-07-16
496,2,60,12,41,11,6,38,30,11683,18,105,172,103,male,1972-07-15
497,3,49,20,49,20,NULL,NULL,24,13570,54,7,2,70,female,1961-06-01
498,1,33,3,33,3,13,102,22,4177,31,23,3,78,female,1985-10-22
499,3,49,15,39,15,65,776,25,10332,240,46,72,226,male,1964-07-22
500,1,51,6,27,6,33,710,24,4988,1,11,1,29,male,1949-08-07
501,5,31,14,31,14,NULL,NULL,,,10,1,6,5,male,1981-04-25
502,4,78,25,63,24,48,291,8,10985,206,84,29,75,male,1959-07-15
503,2,53,16,42,16,3,1,,,0,1,3,2,male,1964-11-20
504,7,73,17,67,17,88,1875,27,12915,91,171,59,131,male,1964-01-17
505,2,94,13,94,13,80,438,23,9718,131,60,117,97,female,1974-07-15
506,2,45,13,38,13,31,287,26,1950,30,10,5,242,male,1979-05-29
507,4,60,15,60,15,13,81,27,12794,27,27,13,88,male,1958-04-13
508,5,47,7,47,7,6,47,14,7971,24,2,1,57,male,1985-03-11
509,3,152,18,146,18,28,269,23,12193,132,5,22,109,male,1987-05-25
510,2,222,12,61,10,1,0,9,4051,15,5,7,9,male,1988-11-28
511,1,58,11,31,11,68,419,27,7560,2,35,3,24,male,1986-10-21
512,6,331,27,331,27,31,18,30,4979,27,1,1,111,male,1971-02-15
513,7,57,15,57,15,45,150,17,4180,0,10,1,21,male,1979-03-20
514,3,135,21,82,20,162,1635,22,13519,1,11,4,32,male,1952-11-28
515,4,49,21,49,21,27,138,,,102,52,30,103,male,1971-01-17
516,5,140,22,127,22,43,379,11,5283,44,7,5,89,female,1987-07-09
517,4,38,9,38,9,42,264,19,4778,18,10,31,76,male,1985-12-08
518,2,44,9,42,9,112,766,23,4764,123,40,3,62,female,1987-11-01
519,1,58,21,58,21,35,474,21,7403,43,8,37,65,female,1969-03-30
520,3,37,9,29,9,33,90,3,3770,4,7,2,13,male,1984-09-01
521,6,283,26,258,26,59,268,24,7201,119,62,26,154,male,1978-02-04
522,4,47,15,47,15,110,1098,22,3725,14,40,7,19,male,1993-02-28
523,2,144,16,139,16,NULL,NULL,,,28,0,1,83,male,1993-06-10
524,4,39,14,39,14,5,1,21,12533,55,35,25,144,male,1979-04-01
525,6,95,21,95,21,8,7,,,5,1,2,6,male,1992-01-02
526,4,65,12,65,12,15,18,18,6838,12,2,1,35,male,1988-10-04
527,2,40,9,40,9,3,2,,,18,1,1,50,male,1989-12-31
528,1,65,9,65,9,1,0,,,113,0,31,38,male,1989-09-05
529,3,67,8,41,8,48,25,,,20,5,7,18,male,1986-07-30
530,3,172,14,172,14,5,2,,,43,2,10,26,male,1997-04-05
531,1,47,7,47,7,6,3,15,5139,22,5,3,3,male,1978-09-20
532,4,87,10,87,10,16,39,16,6116,4,4,1,44,male,1983-04-27
533,4,134,16,134,16,7,2,13,12185,184,15,52,37,male,1999-02-03
534,1,76,7,76,7,17,309,9,6253,33,31,18,42,female,1980-04-22
535,5,59,8,59,8,16,188,18,6886,45,28,33,128,male,1970-04-27
536,1,28,9,28,9,9,15,14,4723,13,1,1,41,male,1982-05-18
537,5,275,14,170,13,10,9,17,8778,67,1,1,98,male,1988-08-18
538,8,181,16,180,16,26,62,2,502,65,6,32,29,male,1973-09-16
539,4,273,9,234,9,63,213,,,4,8,6,36,female,1995-10-15
540,3,31,9,31,9,4,15,,,194,23,24,65,male,1981-08-19
541,1,62,11,62,11,NULL,NULL,10,7460,62,8,17,37,male,1968-07-21
542,2,99,11,82,11,10,16,,,45,1,9,80,male,1987-06-30
543,5,43,9,43,9,84,646,12,4189,65,21,31,57,male,1990-07-02
544,3,121,12,107,12,9,4,13,2572,13,24,9,9,female,1985-08-03
545,1,94,8,48,8,2,0,11,4393,25,0,1,26,male,1994-05-26
546,2,88,11,88,11,53,409,11,5359,108,21,78,28,male,1974-10-08
547,2,36,8,36,8,33,221,12,10047,57,25,44,51,male,1978-08-21
548,1,34,4,17,4,54,640,12,6959,31,11,21,80,male,1967-09-21
549,1,79,9,73,9,34,173,12,13721,70,244,22,64,male,1978-11-11
550,2,35,10,35,10,84,553,,,20,1,19,6,male,1985-03-08
551,1,61,6,37,6,3,1,6,4966,15,0,4,7,male,1989-11-15
552,2,125,10,110,10,2,2,5,7145,16,11,2,13,male,1991-07-15
553,2,39,7,39,7,12,17,6,9991,14,5,7,8,male,1991-08-15
554,1,212,9,119,9,NULL,NULL,,,13,5,11,11,male,1987-10-15
555,4,56,16,29,11,16,171,17,9134,0,19,6,17,male,1977-12-21
556,6,189,18,111,18,4,5,7,2045,9,0,17,22,female,1987-09-28
557,2,32,7,23,7,1,0,28,5263,55,0,83,146,female,1980-01-01
558,6,177,27,177,27,NULL,NULL,15,4887,25,0,2,20,male,1998-06-03
559,9,70,15,70,15,1,0,25,6437,346,13,19,56,male,1991-10-27
560,1,196,30,59,22,14,67,14,4260,6,2,124,31,male,1985-10-30
561,5,30,11,27,11,4,1,27,3355,58,20,95,118,female,1972-07-22
562,11,59,19,59,19,130,2147,30,11466,118,119,206,90,male,1963-09-10
563,1,38,16,24,10,3,0,11,3146,5,3,8,4,male,1989-01-03
564,6,49,18,49,18,1,0,5,2072,1,2,4,0,male,1982-10-25
565,3,74,15,71,15,NULL,NULL,24,34004,33,1,4,122,male,1963-05-14
566,3,80,16,54,16,2,1,17,2055,0,20,52,21,male,1983-06-30
567,2,32,18,32,18,1,0,25,26560,29,14,1,88,male,1983-03-30
568,10,110,23,110,23,NULL,NULL,27,13042,226,39,232,148,male,1973-01-29
569,1,30,13,30,13,1,11,20,4074,25,0,45,77,male,1982-02-24
570,13,128,25,128,25,NULL,NULL,29,18752,205,26,86,62,male,1966-11-21
571,3,35,13,35,13,46,155,9,8997,6,5,11,67,male,1991-01-10
572,4,62,17,49,17,34,214,27,13439,65,32,113,90,male,1993-07-02
573,1,48,18,48,18,8,227,19,8019,97,1,1,62,male,1991-11-05
574,8,199,27,199,27,25,253,25,8800,0,27,32,14,male,1987-08-23
575,1,35,16,31,16,54,130,25,10100,298,20,64,72,male,1974-05-03
576,1,34,6,34,6,8,24,19,8660,4,20,1,11,male,1985-07-29
577,2,106,25,106,25,12,12,22,9007,108,1,263,214,male,1981-02-02
578,1,29,15,29,15,8,32,30,11554,115,4,5,78,male,1978-03-09
579,1,69,20,69,20,28,20,7,11288,23,0,1,21,male,1980-11-26
580,7,74,20,74,20,1,0,,,723,0,39,60,male,1972-04-22
581,4,46,17,46,17,2,2,22,14576,17,4,3,24,male,1979-08-07
582,2,97,27,42,18,13,74,28,18749,26,25,1,43,male,1975-01-28
583,6,193,20,158,20,35,293,30,16872,0,144,184,31,female,1982-07-01
584,1,59,19,59,19,2,13,22,4081,97,5,3,4,male,1986-07-17
585,2,48,18,48,18,7,85,,,23,0,30,26,male,1990-08-19
586,1,34,8,34,8,17,41,21,2960,28,1,4,65,male,1980-06-03
587,9,158,28,146,28,35,650,24,7656,91,36,62,90,male,1974-03-17
588,2,43,13,43,13,NULL,NULL,,,67,0,2,4,male,1984-05-13
589,3,206,18,150,18,12,141,23,6574,56,0,3,43,male,1998-03-22
590,5,112,23,109,23,38,396,21,8889,71,32,68,65,male,1989-12-12
591,6,86,18,83,18,3,2,30,7354,31,0,90,120,male,2000-08-16
592,12,438,29,438,29,5,9,25,7852,56,8,7,31,male,1978-05-19
593,4,74,19,62,18,NULL,NULL,30,4403,149,19,167,141,male,1978-06-22
594,3,54,14,54,14,1,0,,,17,14,6,14,female,1962-06-06
595,2,49,19,49,19,NULL,NULL,29,15632,95,35,117,112,male,1979-07-02
596,7,377,29,220,29,66,129,3,2158,610,119,207,41,male,1978-12-06
597,4,52,13,52,13,1,33,12,1795,21,1,4,9,male,1995-07-01
598,3,27,14,27,14,NULL,NULL,,,1,1,2,0,male,1986-08-30
599,5,96,20,82,20,8,73,27,2924,4,2,1,0,male,1973-07-30
600,2,145,10,139,10,NULL,NULL,24,7494,16,29,17,19,male,1992-04-25
601,3,47,11,38,11,19,106,14,7308,42,13,11,34,male,1981-06-25
602,1,87,22,87,22,NULL,NULL,24,1470,45,31,37,43,male,1983-10-11
603,3,90,16,79,16,3,2,28,161,142,0,109,46,male,1980-09-28
604,2,26,9,26,9,10,28,8,3039,0,12,25,0,male,1983-12-03
605,6,228,29,228,29,37,247,17,5730,10,18,29,30,male,1980-08-20
606,9,121,29,121,29,42,534,21,11657,90,46,75,69,male,1961-10-24
607,5,81,23,81,23,47,757,24,7006,140,32,109,89,male,1990-01-01
608,2,35,9,19,5,NULL,NULL,,,212,47,64,6,male,1967-03-12
609,1,66,19,66,19,11,127,25,5531,30,7,31,114,male,1998-04-27
610,1,111,21,82,21,NULL,NULL,16,6,0,9,1,0,male,1996-11-17
611,2,34,15,34,15,2,0,22,12061,28,30,44,98,male,1982-07-15
612,1,30,9,14,9,34,277,30,13687,75,51,63,60,male,1990-03-15
613,4,54,15,54,15,4,1,,,9,0,3,9,male,1969-07-30
614,2,120,20,103,20,NULL,NULL,24,11792,103,13,65,65,male,1977-05-18
615,7,149,24,122,24,8,95,25,12663,132,2,17,72,male,1983-02-17
616,2,204,19,181,19,3,0,,,52,10,3,9,,0000-00-00
617,4,63,19,38,19,51,701,30,16702,426,45,163,116,male,1977-08-09
618,1,37,15,37,15,26,178,19,7022,10,45,33,17,male,1988-03-17
619,1,34,17,34,17,13,128,14,6722,0,55,33,13,male,1971-09-17
620,1,88,19,88,19,1,0,,,589,54,183,92,male,1983-09-08
621,2,172,28,168,28,1,0,21,11290,0,19,39,34,male,1995-10-23
622,2,131,24,131,24,1,0,,,56,0,1,57,male,1985-09-20
623,5,249,23,249,23,53,242,23,9269,7,25,42,26,male,2000-10-17
624,1,208,30,64,20,NULL,NULL,,,12,1,2,1,female,2006-03-23
625,2,93,20,93,20,NULL,NULL,,,30,0,1,60,male,1976-06-01
626,5,136,26,136,26,1,0,29,9409,148,2,5,56,male,1971-06-27
627,5,95,10,92,10,3,55,23,4506,31,15,1,31,female,1983-06-02
628,5,223,24,217,24,4,1,6,2376,6,2,3,2,male,1991-06-03
629,3,134,28,134,28,7,2,,,60,0,2,15,male,1988-08-13
630,6,126,23,126,23,1,0,,,21,7,14,14,male,1993-04-30
631,1,42,11,42,11,1,1,,,0,3,8,0,male,1978-12-09
632,5,142,20,142,20,11,54,23,8441,80,1,3,81,male,1973-10-02
633,7,73,19,73,19,NULL,NULL,,,21,18,15,6,female,1983-07-07
634,6,132,26,115,26,52,1178,23,17087,88,31,77,119,male,1976-07-12
635,1,71,16,47,16,57,1025,29,10601,2,48,125,120,male,1980-02-08
636,4,168,26,168,26,NULL,NULL,,,53,28,24,43,male,1992-02-01
637,2,140,29,119,29,NULL,NULL,26,10642,58,0,5,78,male,1982-07-06
638,7,87,21,87,21,7,1,23,11608,52,54,88,36,male,1967-01-13
639,2,125,26,125,26,38,234,30,10989,180,51,119,120,male,1979-03-20
640,1,229,19,179,19,2,5,20,3922,123,6,11,45,male,2000-02-23
641,2,61,20,61,20,NULL,NULL,27,12230,1,11,15,32,male,1992-11-27
642,1,44,15,42,15,41,440,25,10401,250,55,68,109,male,1976-11-25
643,5,255,26,240,26,3,3,,,0,4,6,0,male,1995-07-24
644,8,171,24,165,24,1,0,20,5332,212,32,37,53,male,1977-07-14
645,6,71,22,71,22,4,44,24,3663,103,0,2,54,male,1989-04-04
646,2,147,6,141,6,NULL,NULL,5,5418,116,9,26,26,male,1997-04-09
647,3,277,28,277,28,8,29,29,6119,56,5,3,91,male,1993-06-02
648,1,62,14,62,14,NULL,NULL,16,4009,8,0,8,32,male,1983-06-12
649,2,76,21,67,20,NULL,NULL,,,1,2,4,3,male,1997-08-09
650,6,94,20,94,20,1,0,27,4327,132,0,4,55,male,1970-04-15
651,4,76,12,35,12,1,14,18,2221,56,1,1,63,male,1976-06-15
652,1,31,7,31,7,44,777,21,25705,183,175,69,120,male,1977-11-18
653,1,67,13,67,13,NULL,NULL,21,5606,0,1,4,29,male,1994-01-04
654,1,41,16,41,16,NULL,NULL,,,63,1,25,84,male,1985-02-18
655,1,40,9,24,9,4,4,29,5396,17,25,1,38,male,1978-04-18
656,6,150,23,150,23,60,635,24,11656,56,62,106,132,male,1986-11-24
657,1,54,18,54,18,7,2,,,28,3,3,21,male,1989-04-15
658,2,31,13,31,13,6,82,22,1988,69,3,24,191,male,1981-06-18
659,1,47,10,45,10,3,1,30,14084,148,46,5,142,male,1974-06-25
660,2,66,18,57,17,4,1,25,2791,70,151,55,14,male,1993-04-09
661,1,35,13,35,13,5,17,22,11826,40,2,2,81,female,1986-03-13
662,3,43,5,43,5,15,84,24,5416,52,30,50,26,male,1983-03-31
663,3,52,9,34,9,3,36,19,9051,9,23,2,41,male,1982-07-17
664,2,66,21,64,21,47,178,9,1771,0,25,42,45,female,1983-06-24
665,7,225,26,220,26,14,31,26,12224,49,21,43,87,male,1988-05-23
666,5,234,25,234,25,NULL,NULL,,,56,105,6,36,male,1991-05-06
667,2,62,14,57,14,4,6,23,4784,99,8,12,123,male,1984-04-18
668,14,292,20,241,20,10,4,15,397,60,1,5,114,male,1977-05-20
669,1,52,7,37,7,6,26,,,1,1,3,0,male,1984-09-22
670,4,97,12,87,12,3,1,13,7014,59,26,2,92,male,2007-07-09
671,3,79,13,72,13,35,33,14,7075,54,12,17,38,male,1982-08-22
672,1,26,2,26,2,7,38,1,1414,1,2,1,1,male,1984-05-26
673,1,53,5,53,5,5,4,,,14,4,4,27,male,1999-03-14
674,6,108,21,103,21,NULL,NULL,20,13746,0,58,255,85,male,1971-03-01
675,1,79,14,79,14,2,0,11,5109,33,0,1,11,male,1998-11-17
676,3,150,24,106,23,9,39,25,7499,88,0,73,74,male,1993-02-15
677,2,42,13,37,13,5,13,,,26,6,8,87,male,1988-04-01
678,9,105,24,105,24,2,5,29,10495,43,0,29,138,male,1989-02-21
679,1,139,7,139,7,NULL,NULL,1,2238,6,9,3,44,male,1989-11-22
680,2,26,10,26,10,6,16,2,2621,8,4,14,11,male,2000-05-01
681,1,83,17,62,17,NULL,NULL,20,7225,80,65,3,37,male,1991-01-09
682,1,39,14,39,14,30,156,28,10787,154,26,84,116,male,1981-12-28
683,2,78,20,73,20,NULL,NULL,26,10108,20,16,9,54,male,1979-05-17
684,7,160,26,160,26,NULL,NULL,23,1532,69,27,2,95,male,1991-07-19
685,4,189,23,170,23,2,60,29,2866,24,0,54,192,male,1997-05-24
686,9,324,30,166,27,1,7,30,17564,58,5,6,165,male,1967-04-28
687,5,31,5,26,5,2,4,21,10987,51,1,12,46,male,1960-04-06
688,1,29,10,24,10,6,1,2,9432,0,3,6,10,male,1953-02-19
689,4,108,27,44,12,20,214,27,6827,21,0,35,119,male,1977-04-08
690,3,27,11,27,11,6,4,22,3191,1,19,3,0,male,1985-01-02
691,1,101,21,99,20,23,141,25,5456,14,21,24,23,male,1986-01-24
692,1,29,7,13,7,1,0,24,13138,51,0,3,244,male,1984-03-04
693,1,49,13,31,13,23,132,23,4943,4,1,13,30,male,1989-03-28
694,3,204,14,81,11,NULL,NULL,29,11876,93,0,1,157,male,1980-06-06
695,4,237,27,219,27,6,2,19,4672,0,13,8,12,male,1989-02-08
696,9,411,30,172,21,9,75,13,5902,6,7,3,30,male,1984-06-11
697,5,72,17,72,17,3,0,21,4154,15,8,6,25,male,1985-12-15
698,1,28,9,28,9,NULL,NULL,10,3122,19,2,1,46,female,1979-03-28
699,5,63,17,61,17,NULL,NULL,23,2926,8,1,4,6,male,1956-04-21
700,2,125,21,125,21,4,7,20,7703,0,1,2,18,male,1984-01-25
701,3,28,11,26,11,NULL,NULL,27,10471,58,0,77,44,male,1989-05-17
702,2,29,9,27,9,NULL,NULL,15,4687,5,2,19,23,male,1987-05-16
703,11,92,23,88,23,NULL,NULL,22,13811,197,0,121,379,male,1950-02-05
704,2,32,12,32,12,NULL,NULL,27,11329,44,1,5,65,male,1981-10-05
705,3,30,17,30,17,NULL,NULL,13,11628,4,0,8,47,male,1984-12-22
706,1,47,17,47,17,1,0,25,10465,0,2,32,21,male,1969-05-14
707,5,143,26,143,26,NULL,NULL,25,9531,112,32,60,66,female,1975-08-31
708,2,58,15,58,15,NULL,NULL,30,13723,147,145,115,89,male,1958-02-02
709,3,102,18,100,18,NULL,NULL,29,5656,57,5,34,93,male,1958-01-02
710,10,73,18,73,18,3,44,14,719,21,1,19,26,male,1987-05-05
711,5,74,22,71,22,NULL,NULL,19,11732,22,0,6,30,male,1981-01-07
712,3,90,16,75,16,1,1,3,4497,3,1,6,1,male,1987-05-27
713,6,86,20,84,20,16,21,14,6352,69,44,18,145,male,1986-04-06
714,4,38,8,13,8,NULL,NULL,20,3667,0,13,8,35,male,1974-07-01
715,5,250,27,250,27,75,735,25,12670,116,67,96,119,male,1971-10-16
716,1,83,24,69,24,NULL,NULL,11,4326,15,3,7,18,male,1999-07-04
717,2,33,15,33,15,26,235,19,4388,0,29,51,4,male,1986-01-01
718,3,148,27,104,23,61,489,18,1985,3,3,3,0,male,1972-04-22
719,2,28,10,22,10,1,2,6,1250,4,1,14,14,male,1992-05-28
720,2,37,9,30,9,3,27,19,10196,3,47,1,33,male,1990-09-30
721,3,92,23,92,23,5,70,27,6413,134,5,8,35,male,1972-03-14
722,1,81,23,81,23,6,1,24,11215,10,4,7,25,male,1992-07-11
723,1,51,21,43,20,5,52,27,6821,7,7,8,27,male,1978-05-23
724,1,39,6,39,6,NULL,NULL,11,3263,14,0,15,11,male,1980-12-03
725,5,152,23,152,23,NULL,NULL,13,1346,168,0,12,34,male,1969-06-25
